AFGHANI,AFG,AFGHANISTAN,,
ALAND ISLAND,ALA,ALAND ISLANDS,,
ALANDIC,ALA,ALAND ISLANDS,,
ALBANIAN,ALB,ALBANIA,,
ALGERIAN,DZA,ALGERIA,,
AMERICAN SAMOAN,ASM,AMERICAN SAMOA,,
ANDORRAN,AND,ANDORRA,,
ANGOLAN,AGO,ANGOLA,,
ANGUILLAN,AIA,ANGUILLA,,
ANTARCTIC,ATA,ANTARCTICA,,
ARGENTINE,ARG,ARGENTINA,,
ARMENIAN,ARM,ARMENIA,,
ARUBAN,ABW,ARUBA,,
AUSTRALIAN,AUS,AUSTRALIA,,
AUSTRIAN,AUT,AUSTRIA,OSTERREICH,
AZERBAIJANI,AZE,AZERBAIJAN,,
BAHAMIAN,BHS,BAHAMAS,,
BAHRAINI,BHR,BAHRAIN,,
BANGLADESHI,BGD,BANGLADESH,,
BARBADIAN,BRB,BARBADOS,,
BELARUSIAN,BLR,BELARUS,,
BELGIAN,BEL,BELGIUM,,
BELIZEAN,BLZ,BELIZE,,
BENINESE,BEN,BENIN,,
BERMUDIAN,BMU,BERMUDA,,
BHUTANESE,BTN,BHUTAN,,
BOLIVIAN,BOL,BOLIVIA,,
SINT EUSTATIUS AND SABA,BQ,BONAIRE,,
BOSNIAN,BIH,BOSNIA AND HERZEGOVINA,,
MOTSWANA,BWA,BOTSWANA,,
BOUVET ISLAND,BVT,BOUVET ISLAND,,
BRAZILIAN,BRA,BRAZIL,BRASIL,
BRUNEIAN,BRN,BRUNEI DARUSSALAM,,
BULGARIAN,BGR,BULGARIA,,
BURKINABE,BFA,BURKINA FASO,,
BURUNDIAN,BDI,BURUNDI,,
CABO VERDEAN,CPV,CABO VERDE,,
CAMBODIAN,KHM,CAMBODIA,,
CAMEROONIAN,CMR,CAMEROON,,
CANADIAN,CAN,CANADA,BRITISH COLUMBIA CAN,
CAYMANIAN,CYM,CAYMAN ISLANDS,,
CENTRAL AFRICAN,CAF,CENTRAL AFRICAN REPUBLIC,,
CHADIAN,TCD,CHAD,,
CHILEAN,CHL,CHILE,,
CHINESE,CHN,CHINA,,
CHRISTMAS ISLAND,CXR,CHRISTMAS ISLAND,,
COCOS ISLAND,CCK,COCOS (KEELING) ISLANDS,,
COLOMBIAN,COL,COLOMBIA,,
COMORAN,COM,COMOROS,,
COMORAN,CMR,CAMEROONIAN,,
CONGOLESE,COD,CONGO (REPUBLIC OF THE),CONGO (DEMOCRATIC REPUBLIC OF THE),
COOK ISLANDER,COK,COOK ISLANDS,,
COSTA RICAN,CRI,COSTA RICA,,
IVORIAN,CIV,COTE D'IVOIRE,,
CROATIAN,HRV,CROATIA,,
CUBAN,CUB,CUBA,,
CURACAOAN,CUW,CURACAO,,
CYPRIOT,CYP,CYPRUS,,
CZECH,CZE,CZECH REPUBLIC,,
DANISH,DNK,DENMARK,DANMARK,
DJIBOUTIAN,DJI,DJIBOUTI,,
DOMINICAN,DMA,DOMINICA,DOMINICAN REPUBLIC,
ECUADORIAN,ECU,ECUADOR,,
EGYPTIAN,EGY,EGYPT,,
SALVADORAN,SLV,EL SALVADOR,,
EQUATORIAL GUINEAN,GNQ,EQUATORIAL GUINEA,,
